Código;Descrição;U.M;Valor custo R$;"Valor 
venda R$";Lucro R$;lucro %;Saldo estoque;"Custo estoque
Atual R$";Fornecedor;Cód Forn.
PRO0439;POR. SEXT. M8-1.25MA NYLON PA66 PTO;PÇ;1;2,32;1,32;132,00%;190;190;;
PRO0440;P. CAB. CHATA SX INT. M2-0.40 X 12 INOX A2;PÇ;1;0,83;-0,17;-17,00%;1.111,00;1111;;
PRO0441;P. CAB. CHATA SX INT. M2-0.40 X 20 INOX A2;PÇ;1;0,98;-0,02;-2,00%;11.111,00;11111;;
PRO0442;AR. PRESSAO #10 - 3/16 INOX 18.8;PÇ;1;0,09;-0,91;-91,00%;11.111,00;11111;;
PRO0443;AR. PRESSAO 1/4 INOX 18.8;PÇ;1;0,14;-0,86;-86,00%;1.111,00;1111;;
PRO0444;AR. LISA 1/4 INOX 18.8;PÇ;1;0,24;-0,76;-76,00%;1.111,00;1111;;
PRO0445;AR. PRESSAO M8 INOX A2;PÇ;1;0,15;-0,85;-85,00%;1.111,00;1111;;
PRO0446;P. CAB. ABAULADA SX INT. M5-0.80 X 16 INOX A2;PÇ;1;0,54;-0,46;-46,00%;1.111,00;1111;;
PRO0447;P. CAB. CILINDRICA SX INT. M3-0.50 X 30MA LG 12.9;PÇ;1;0,57;-0,43;-43,00%;111;111;;
PRO0448;P. RM CH. C/ PH M4-0.70 X 50 BC;PÇ;1;0,27;-0,73;-73,00%;11.111,00;11111;;
PRO0449;POR. SEXT. M4-0.70MA FE. BC;PÇ;1;0,08;-0,92;-92,00%;111;111;;
PRO0450;AR. LISA M4 FE. BC;PÇ;1;0,09;-0,91;-91,00%;111;111;;
PRO0451;AR. PRESSAO ME M4 FE. BC;PÇ;1;0,04;-0,96;-96,00%;1.111,00;1111;;
PRO0452;P. CAB. CHATA SX INT. M3-0.50 X 50 INOX A2;PÇ;1;2,87;1,87;187,00%;111;111;;
PRO0453;AR. PRESSAO ME M3 FE. PL;PÇ;1;0,04;-0,96;-96,00%;1.111,00;1111;;
PRO0454;P. CAB. ABAULADA SX INT. M4-0.70 X 16 LG 12.9;PÇ;1;0,42;-0,58;-58,00%;1.111,00;1111;;
PRO0455;P. CAB. CHATA SX INT. M3-0.50 X 30MA LG 12.9;PÇ;1;0,63;-0,37;-37,00%;111;111;;
PRO0456;P. RM PAN. C/ PH. M1.6-0.35 X 3mm - INOX A2;PÇ;1;1,07;0,07;7,00%;10.000,00;10000;;
PRO0457;P. S/C SEXT. INT P. CV M2.5-0.45 X 3MA INOX A2;PÇ;1;0,78;-0,22;-22,00%;1.111,00;1111;;
PRO0458;P. CAB. ABAULADA SX INT. M3-0.50 X 5 INOX A2;PÇ;1;1,16;0,16;16,00%;111;111;;
PRO0459;P. CAB. ABAULADA SX INT. M2-0.40 X 10 INOX A2;PÇ;1;0,89;-0,11;-11,00%;111;111;;
PRO0461;P. AA CH. C/ PH 2 X 10 A2;PÇ;1;0,59;-0,41;-41,00%;1.110,00;1110;;
PRO0462;P. CAB. CHATA SX INT. M3-0.50 X 5 INOX A2;PÇ;1;0,96;-0,04;-4,00%;1.111,00;1111;;
PRO0463;P. CAB. CHATA SX INT. M2.5-0.45 X 8 INOX A2;PÇ;1;0,93;-0,07;-7,00%;1.111,00;1111;;
PRO0464;P. S/C SEXT. INT P. CV M2.5-0.45 X 6MA INOX A2;PÇ;1;0,83;-0,17;-17,00%;1.111,00;1111;;
PRO0465;AR. LISA M12 FE. ZB;PÇ;1;0,67;-0,33;-33,00%;10.000,00;10000;;
PRO0466;AR. LISA M4 FE. ZB;PÇ;1;0,08;-0,92;-92,00%;11.111,00;11111;;
PRO0467;AR. LISA M8 FE. ZB;PÇ;1;0,39;-0,61;-61,00%;1.111,00;1111;;
PRO0468;AR. PRESSAO ME M4 FE. ZB;PÇ;1;0,06;-0,94;-94,00%;1.111,00;1111;;
PRO0469;AR. PRESSAO ME M8 FE. ZB;PÇ;1;0,16;-0,84;-84,00%;11.111,00;11111;;
PRO0470;P. SEXT. RI M8-1.25MA X 60 5.8 ZB;PÇ;1;1,15;0,15;15,00%;111;111;;
PRO0471;P. SEXT. RI M8-1.25MA X 80 5.8 ZB;PÇ;1;1,4;0,4;40,00%;1.111,00;1111;;
PRO0472;POR. TRAVANTE M12-1.75MA INOX A2;PÇ;1;2;1;100,00%;1.111,00;1111;;
PRO0473;POR. SEXT. M8-1.25 ACO CL 8 ZB;PÇ;1;0,23;-0,77;-77,00%;111;111;;
PRO0474;P. SEXT. RI M8-1.25MA X 30 8.8 ZB;PÇ;1;0,8;-0,2;-20,00%;1.111,00;1111;;
PRO0475;P. SEXT. RI M8-1.25MA X 80 8.8 ZB;PÇ;1;1,68;0,68;68,00%;111;111;;
PRO0476;P. CAB. ABAULADA SX INT. M4-0.70 X 8 LG 12.9;PÇ;1;0,38;-0,62;-62,00%;111;111;;
PRO0477;P. CAB. ABAULADA SX INT. M5-0.80 X 16 LG 12.9;PÇ;1;0,33;-0,67;-67,00%;1.111,00;1111;;
PRO0478;P. S/C SEXT. INT P. CV M3-0.50 X 5MA INOX A2;PÇ;1;0,52;-0,48;-48,00%;111;111;;
PRO0479;P. S/C SEXT. INT P. CV M3-0.50 X 6MA INOX A2;PÇ;1;0,42;-0,58;-58,00%;1.111,00;1111;;
PRO0480;P. S/C SEXT. INT P. CV M3-0.50 X 8MA INOX A2;PÇ;1;0,58;-0,42;-42,00%;1.111,00;1111;;
PRO0481;P S/C SEXT. INT P. CV M3-0.50 X 10MA INOX A2;PÇ;1;0,72;-0,28;-28,00%;111;111;;
PRO0482;P S/C SEXT. INT P. CV M3-0.50 X 16MA INOX A2;PÇ;1;2,53;1,53;153,00%;111;111;;
PRO0483;P S/C SEXT. INT P. CV M3-0.50 X 20MA INOX A2;PÇ;1;3,96;2,96;296,00%;111;111;;
PRO0484;P. CAB. ABAULADA SX INT. M4-0.70 X 20 INOX A2;PÇ;1;0,39;-0,61;-61,00%;1.111,00;1111;;
PRO0485;P. CAB. CHATA SX INT. M6-1.00 X 12 INOX A2;PÇ;1;0,58;-0,42;-42,00%;1.111,00;1111;;
PRO0486;POR. TRAVANTE 1/4-20UNC INOX 18.8;PÇ;1;0,68;-0,32;-32,00%;1.111,00;1111;;
PRO0487;FRETE SEDEX - 2/3 DIAS ÚTEIS;PÇ;31,64;17,8;-13,84;-43,74%;1;31,64;;
PRO0488;P. RM CH C/ PH. M4-0.70 X 30MA INOX A2;PÇ;1;0,54;-0,46;-46,00%;111;111;;
PRO0489;P. RM PAN. C/ PH. M4-0.70 X 25 INOX A2;PÇ;1;0,53;-0,47;-47,00%;111;111;;
PRO0490;ESPACADOR M4X6x7 S/ROSCA NYLON PA66 ;PÇ;1;0,58;-0,42;-42,00%;1.000,00;1000;;
PRO0491;REB. REPUXO 3.2 X 12 ACO / ALUMINIO;PÇ;1;0,12;-0,88;-88,00%;1.111,00;1111;;
PRO0492;P. CAB. ABAULADA SX INT. M6-1.00 X 16 INOX A2;PÇ;1;0,88;-0,12;-12,00%;1.111,00;1111;;
PRO0493;AR. PRESSAO M6 INOX A2;PÇ;1;0,12;-0,88;-88,00%;1.111,00;1111;;
PRO0494;CABO DE AÇO GALVANIZADO 1/8 - 3.2mm (P/ METRO );PÇ;1;1,78;0,78;78,00%;1.111,00;1111;;
PRO0495;GRAMPO P/ CABO DE AÇO LEVE - 03- 1/8;PÇ;1;0,9;-0,1;-10,00%;1.111,00;1111;;
PRO0496;TESTE 1111;PÇ;1;0,57;-0,43;-43,00%;1.111,00;1111;;
PRO0497;TESTE 2222;PÇ;1;1111;1110;111000,00%;111;111;;
PRO0498;ESPAÇADOR FÊMEA/FÊMEA M3X10 NYLON PRETO;PÇ;1;0,57;-0,43;-43,00%;1.111,00;1111;;
PRO0499;P. RM PAN. C/ PH. M2.5-0.45 X 12 INOX A2;PÇ;1;0,67;-0,33;-33,00%;111;111;;
PRO0500;P. RM PAN. C/ PH. M2.5-0.45 X 10 INOX A2;PÇ;1;0,79;-0,21;-21,00%;100;100;;
PRO0501;FRETE SEDEX;PÇ;1;36,45;35,45;3545,00%;1;1;;
PRO0502;P. RM CH. C/ PH M6-1.00 X 60 BC;PÇ;1;0,89;-0,11;-11,00%;111;111;;
PRO0503;P. RM PAN. C/ PH. M3-0.50 X 20 INOX A2;PÇ;1;0,47;-0,53;-53,00%;106;106;;
PRO0504;P. RM CH C/ PH. M1.6-0.35 X 6MA INOX A2;PÇ;1;0,81;-0,19;-19,00%;111;111;;
PRO0505;ESPAÇADOR FÊMEA/FÊMEA M3X15 NYLON PRETO;PÇ;1;0,59;-0,41;-41,00%;1.111,00;1111;;
PRO0506;ESPAÇADOR MACHO/FÊMEA M3x30x6 NYLON PRETO;PÇ;1;1,6;0,6;60,00%;111;111;;
PRO0507;P. CAB. CILINDRICA SX INT. M1.6-0.35MA X 16 INOX A2;PÇ;1;1,3;0,3;30,00%;10.000,00;10000;;
PRO0508;AR. PRESSAO M2.5 INOX A2;PÇ;0,18;0,19;0,01;5,56%;100;18;;
PRO0509;P. RM CH C/ PH. M3-0.50 X 16MA INOX A2;PÇ;1;0,24;-0,76;-76,00%;1.000,00;1000;;
PRO0510;P. RM PAN. C/ PH. M1.6-0.35 X 16mm - INOX A2;PÇ;1;1,19;0,19;19,00%;111;111;;
PRO0511;P. AA PN. C/ PH 2,6 x 5 INOX A2;PÇ;1;0,57;-0,43;-43,00%;1.111,00;1111;;
PRO0512;P. S/C SEXT INT P. CN M3-0.50MA X 3 MA INOX A2;PÇ;1;1,98;0,98;98,00%;11.111,00;11111;;
PRO0513;P. S/C SEXT INT. P. HD M3-0,50x3 MA INOX A2;PÇ;1;0,68;-0,32;-32,00%;1.111,00;1111;;
PRO0514;P. CAB. CHATA SX INT. M2-0.40 X 10 INOX A2;PÇ;1;0,78;-0,22;-22,00%;1.111,00;1111;;
PRO0515;CHAVE M1.5 A. LIGA;PÇ;1;1,17;0,17;17,00%;111;111;;
PRO0516;CHAVE M1.3 A. LIGA;PÇ;1;1,17;0,17;17,00%;111;111;;
PRO0517;CHAVE M0,7 A. LIGA;PÇ;1;1,38;0,38;38,00%;111;111;;
PRO0518;CHAVE M0,9 A. LIGA CROM.;PÇ;1;1,17;0,17;17,00%;111;111;;
PRO0519;AR. LISA M10x20x2 NYLON PA66 - PRETO;PÇ;1;0,95;-0,05;-5,00%;1.000,00;1000;;
PRO0520;ARRUELA M10X20X1 PVC TRANSPARENTE (SOFT);PÇ;1;0,98;-0,02;-2,00%;100;100;;
PRO0521;P. CAB. CHATA SX INT. M5-0.80 X 12 INOX A2;PÇ;1;0,48;-0,52;-52,00%;1.111,00;1111;;
PRO0522;P. CAB. CHATA SX INT. M5-0.80 X 16 INOX A2;PÇ;1;0,56;-0,44;-44,00%;11.111,00;11111;;
PRO0523;P. CAB. CILINDRICA SX INT. M6-1.00MA X 20 INOX A2;PÇ;1;1,04;0,04;4,00%;11.111,00;11111;;
PRO0524;P. AA PN. C/ PH 2.6 X 5 INOX A2;PÇ;1;0,22;-0,78;-78,00%;111;111;;
PRO0525;P. AA PN. C/ PH 2.6 X 10 INOX A2;PÇ;1;0,27;-0,73;-73,00%;1.111,00;1111;;
PRO0526;P. AA PN. C/ PH 2.6 X 16 INOX A2;PÇ;1;0,22;-0,78;-78,00%;1.111,00;1111;;
PRO0527;P. S/C SEXT INT P. CN M2-0.40MA X 3 INOX A2;PÇ;1;0,97;-0,03;-3,00%;950;950;;
PRO0528;P. S/C SEXT. INT P. CV M2-0.40 X 4MA INOX A2;PÇ;1;0,87;-0,13;-13,00%;1.500,00;1500;;
PRO0529;POR. SEXT. M2-0.40MA NYLON PA66 PRETO;PÇ;1;0,24;-0,76;-76,00%;1.000,00;1000;;
PRO0530;P. RM PAN. C/ PH. M2-0.40 X 5 NYLON PA66 PRETO;PÇ;1;0,54;-0,46;-46,00%;111;111;;
PRO0531;PARAFUSO DE TRAÇÃO REBITADOR MANUAL (SÓ PARAFUSO);PÇ;1;30;29;2900,00%;100;100;;
PRO0532;PARAFUSO M3X10 C. PANELA PHILLIPS NYLON PA66 BRANCO;PÇ;1;0,42;-0,58;-58,00%;49.511,00;49511;;
PRO0533;POR. SEXT. M3-0.50MA NYLON PA66 BRANCO;PÇ;1;0,35;-0,65;-65,00%;48.211,00;48211;;
PRO0534;ESPAÇADOR SEM ROSCA M3X10X7 ABS BRANCO;PÇ;1;0,46;-0,54;-54,00%;1.111,00;1111;;
PRO0535;P. RM PAN. C/ PH. M6-1.00 X 30 NYLON PA66 BRANCO;PÇ;1;4,72;3,72;372,00%;111;111;;
PRO0536;ESPAÇADOR SEM ROSCA M3X6X7 ABS BRANCO;PÇ;1;0,46;-0,54;-54,00%;11.111,00;11111;;
PRO0537;"P. S/C SEXT. INT P. CV M2.5-0.45 X 4MA INOX A2	";PÇ;1;0,95;-0,05;-5,00%;1.111,00;1111;;
PRO0538;"P. AA PN. C/ PH 1.4 X 4 INOX A2	";PÇ;1;0,78;-0,22;-22,00%;11.111,00;11111;;
PRO0539;P. RM CH C/ PH. M2-0.40 X 8MA INOX A2;PÇ;1;0,52;-0,48;-48,00%;1.111,00;1111;;
PRO0540;POR. SEXT. M1-0.25 INOX A2;PÇ;1;0,35;-0,65;-65,00%;1.011,00;1011;;
PRO0541;"PORCA REBITE DE ROSCA M4 ABA PLANA  BICRO.		";PÇ;1;0,4;-0,6;-60,00%;1.111,00;1111;;
PRO0542;P. S/C SEXT INT P CV M2-0.40 X 3MA A. LIGA;PÇ;1;0,68;-0,32;-32,00%;111;111;;
PRO0543;P. S/C SEXT INT. P. CV M3-0.50 X 3MA A. LIGA;PÇ;1;0,27;-0,73;-73,00%;111;111;;
PRO0544;TRANS. LOGGI 3/4 DIAS ÚTEIS ;PÇ;1;28,7;27,7;2770,00%;1;1;;
PRO0545;ESPAÇADOR NYLON M3X3X7 BRANCO;PÇ;1;0,5;-0,5;-50,00%;1.000,00;1000;;
PRO0546;ESPAÇADOR MACHO E FÊMEA M3X6 NYLON PA66 PRETO;PÇ;1;0,48;-0,52;-52,00%;1.111,00;1111;;
PRO0547;ESPAÇADOR MACHO E FÊMEA M3X10 NYLON PA66 PRETO;PÇ;1;0,48;-0,52;-52,00%;1.111,00;1111;;
PRO0548;ESPAÇADOR MACHO E FÊMEA M3X15 NYLON PA66 PRETO;PÇ;1;0,48;-0,52;-52,00%;1.111,00;1111;;
PRO0549;INSERTO METÁLICO M2x5x3;PÇ;1;0,83;-0,17;-17,00%;111;111;;
PRO0550;P. CAB. CHATA SX INT. M3-0.50 X 12 INOX A2;PÇ;1;0,28;-0,72;-72,00%;111;111;;
PRO0551;P. CAB. CHATA SX INT. M3-0.50 X 25 INOX A2;PÇ;1;1,87;0,87;87,00%;111;111;;
PRO0552;P. CAB. CHATA SX INT. M3-0.50 X 30 INOX A2;PÇ;1;2,16;1,16;116,00%;111;111;;
PRO0553;P. CAB. CHATA SX INT. M4-0.70 X 12 INOX A2;PÇ;1;0,24;-0,76;-76,00%;111;111;;
PRO0554;P. CAB. CHATA SX INT. M4-0.70 X 20 INOX A2;PÇ;11;0,33;-10,67;-97,00%;111;1221;;
PRO0555;P. CAB. CHATA SX INT. M4-0.70 X 25 INOX A2;PÇ;1;1,48;0,48;48,00%;1.111,00;1111;;
PRO0556;P. CAB. CHATA SX INT. M4-0.70 X 30 INOX A2;PÇ;1;1,56;0,56;56,00%;11;11;;
PRO0557;P. CAB. CHATA SX INT. M5-0.80 X 10 INOX A2;PÇ;1;0,33;-0,67;-67,00%;111;111;;
PRO0558;P. CAB. CHATA SX INT. M5-0.80 X 20 INOX A2;PÇ;111;0,57;-110,43;-99,49%;11;1221;;
PRO0559;P. CAB. CHATA SX INT. M5-0.80 X 25 INOX A2;PÇ;1;0,6;-0,4;-40,00%;111;111;;
PRO0560;P. CAB. CHATA SX INT. M5-0.80 X 30 INOX A2;PÇ;1;0,69;-0,31;-31,00%;11;11;;
PRO0561;P. CAB. CHATA SX INT. M5-0.80 X 35 INOX A2;PÇ;1;0,89;-0,11;-11,00%;111;111;;
PRO0562;P. CAB. CHATA SX INT. M5-0.80 X 40 INOX A2;PÇ;1;3,45;2,45;245,00%;111;111;;
PRO0563;P. CAB. CHATA SX INT. M6-1.00 X 10 INOX A2;PÇ;1;0,48;-0,52;-52,00%;111;111;;
PRO0564;P. CAB. CHATA SX INT. M6-1.00 X 16 INOX A2;PÇ;1;0,54;-0,46;-46,00%;111;111;;
PRO0565;P. CAB. CHATA SX INT. M6-1.00 X 20 INOX A2;PÇ;1;0,63;-0,37;-37,00%;111;111;;
PRO0566;P. CAB. CHATA SX INT. M6-1.00 X 25 INOX A2;PÇ;1;0,78;-0,22;-22,00%;111;111;;
PRO0567;P. CAB. CHATA SX INT. M6-1.00 X 30 INOX A2;PÇ;1;0,9;-0,1;-10,00%;111;111;;
PRO0568;P. CAB. CHATA SX INT. M6-1.00 X 40 INOX A2;PÇ;1;1,23;0,23;23,00%;111;111;;
PRO0569;P. CAB. CHATA SX INT. M6-1.00 X 50 INOX A2;PÇ;1;1,44;0,44;44,00%;111;111;;
PRO0570;P. CAB. CHATA SX INT. M6-1.00 X 60 INOX A2;PÇ;1;3,39;2,39;239,00%;11;11;;
PRO0571;P. CAB. CILINDRICA SX INT. M2-0.40MA X 14 INOX A2;PÇ;1;1,2;0,2;20,00%;111;111;;
PRO0572;P. CAB. CILINDRICA SX INT. M2-0.40MA X 25 INOX A2;PÇ;1;1,43;0,43;43,00%;1.111,00;1111;;
PRO0573;P. CAB. CILINDRICA SX INT. M2-0.40MA X 30 INOX A2;PÇ;1;2,5;1,5;150,00%;111;111;;
PRO0574;P. CAB. CILINDRICA SX INT. M2.5-0.45MA X 12 INOX A2;PÇ;1;0,87;-0,13;-13,00%;111;111;;
PRO0575;P. CAB. CILINDRICA SX INT. M2.5-0.45MA X 16 INOX A2;PÇ;1;1,17;0,17;17,00%;1.111,00;1111;;
PRO0576;P. CAB. CILINDRICA SX INT. M3-0.50MA X 35 INOX A2;PÇ;1;1,89;0,89;89,00%;111;111;;
PRO0577;P. CAB. CILINDRICA SX INT. M3-0.50MA X 40 INOX A2;PÇ;1;2,43;1,43;143,00%;111;111;;
PRO0578;P. CAB. CILINDRICA SX INT. M4-0.70MA X 25 INOX A2;PÇ;1;0,49;-0,51;-51,00%;111;111;;
PRO0579;P. CAB. CILINDRICA SX INT. M4-0.70MA X 30 INOX A2;PÇ;1;0,62;-0,38;-38,00%;611;611;;
PRO0580;P. CAB. CILINDRICA SX INT. M4-0.70MA X 35 INOX A2;PÇ;1;0,7;-0,3;-30,00%;111;111;;
PRO0581;P. CAB. CILINDRICA SX INT. M4-0.70MA X 45 INOX A2;PÇ;1;1,23;0,23;23,00%;11;11;;
PRO0582;P. CAB. CILINDRICA SX INT. M4-0.70MA X 50 INOX A2;PÇ;1;1,57;0,57;57,00%;1.111,00;1111;;
PRO0583;P. CAB. CILINDRICA SX INT. M5-0.80MA X 25 INOX A2;PÇ;1;0,66;-0,34;-34,00%;111;111;;
PRO0584;P. CAB. CILINDRICA SX INT. M5-0.80MA X 30 INOX A2;PÇ;1;0,83;-0,17;-17,00%;111;111;;
PRO0585;P. CAB. CILINDRICA SX INT. M5-0.80MA X 35 INOX A2;PÇ;1;1,2;0,2;20,00%;111;111;;
PRO0586;P. CAB. CILINDRICA SX INT. M5-0.80MA X 40 INOX A2;PÇ;1;1,29;0,29;29,00%;11;11;;
PRO0587;P. CAB. CILINDRICA SX INT. M5-0.80MA X 45 INOX A2;PÇ;1;1,6;0,6;60,00%;11;11;;
PRO0588;P. CAB. CILINDRICA SX INT. M5-0.80MA X 50 INOX A2;PÇ;1;1,64;0,64;64,00%;111;111;;
PRO0589;P. CAB. CILINDRICA SX INT. M5-0.80MA X 60 INOX A2;PÇ;1;1,89;0,89;89,00%;111;111;;
PRO0590;P. CAB. CILINDRICA SX INT. M6-1.00MA X 10 INOX A2;PÇ;1;0,6;-0,4;-40,00%;1.111,00;1111;;
PRO0591;P. CAB. CILINDRICA SX INT. M6-1.00MA X 16 INOX A2;PÇ;1;0,75;-0,25;-25,00%;111;111;;
PRO0592;P. CAB. CILINDRICA SX INT. M6-1.00MA X 30 INOX A2;PÇ;1;1,1;0,1;10,00%;111;111;;
PRO0593;P. CAB. CILINDRICA SX INT. M6-1.00MA X 40 INOX A2;PÇ;1;1,4;0,4;40,00%;111;111;;
PRO0594;P. CAB. CILINDRICA SX INT. M6-1.00MA X 45 INOX A2;PÇ;1;1,27;0,27;27,00%;11;11;;
PRO0595;P. CAB. CILINDRICA SX INT. M6-1.00MA X 50 INOX A2;PÇ;1;1,55;0,55;55,00%;111;111;;
PRO0596;P. CAB. ABAULADA SX INT. M3-0.50 X 12 LG 12.9;PÇ;1;0,25;-0,75;-75,00%;1.111,00;1111;;
PRO0597;P. CAB. ABAULADA SX INT. M3-0.50 X 16 LG 12.9;PÇ;1;0,39;-0,61;-61,00%;111;111;;
PRO0598;P. CAB. ABAULADA SX INT. M3-0.50 X 25 LG 12.9;PÇ;1;0,99;-0,01;-1,00%;111;111;;
PRO0599;INSERTO METÁLICO M1.4x2x2.3;PÇ;1;1,92;0,92;92,00%;111;111;;
PRO0600;INSERTO METÁLICO M1.6x3x2.5;PÇ;1;1,92;0,92;92,00%;111;111;;
PRO0601;INSERTO METÁLICO M3x3x4;PÇ;1;0,68;-0,32;-32,00%;111;111;;
PRO0602;INSERTO METÁLICO M3x4x5;PÇ;1;0,79;-0,21;-21,00%;111;111;;
PRO0603;INSERTO METÁLICO M3x8x4;PÇ;1;0,64;-0,36;-36,00%;11;11;;
PRO0604;INSERTO METÁLICO M3x10x4;PÇ;1;0,98;-0,02;-2,00%;111;111;;
PRO0605;INSERTO METÁLICO M4x3x5;PÇ;1;0,64;-0,36;-36,00%;111;111;;
PRO0606;INSERTO METÁLICO M4x3x6;PÇ;1;0,76;-0,24;-24,00%;1.111,00;1111;;
PRO0607;INSERTO METÁLICO M4x4x5;PÇ;1;0,64;-0,36;-36,00%;1.111,00;1111;;
PRO0608;INSERTO METÁLICO M4x10x5;PÇ;1;0,83;-0,17;-17,00%;1.111,00;1111;;
PRO0609;INSERTO METÁLICO M5x8x7;PÇ;1;1,17;0,17;17,00%;111;111;;
PRO0610;P. PAN. C/ TORX M8-1.25 X 20 INOX A2;PÇ;1;7,3;6,3;630,00%;40;40;;
PRO0611;P. CAB. CILINDRICA SX INT. M3-0.50MA X 60 INOX A2;PÇ;1;4,23;3,23;323,00%;111;111;;
PRO0612;P. RM PAN. C/ PH. M4-0.70 X 20 NYLON PA66 PRETO;PÇ;1;0,98;-0,02;-2,00%;700;700;;
PRO0613;P. SEXT. RI M8-1.25MA X 80 INOX A2;PÇ;1;4,68;3,68;368,00%;1.111,00;1111;;
PRO0614;P. CAB. ABAULADA SX INT. M6-1.00 X 20 INOX A2;PÇ;1;1,13;0,13;13,00%;111;111;;
PRO0615;AR. LISA M6 FE. ZB;PÇ;1;0,19;-0,81;-81,00%;1.111,00;1111;;
PRO0616;P. RM PAN. C/ PH. M1.6-0.35 X 12mm - INOX A2;PÇ;1;1,19;0,19;19,00%;100;100;;
PRO0617;POR. SEXT. M2.5-0.45MA INOX A2;PÇ;1;0,32;-0,68;-68,00%;111;111;;
PRO0618;P. S/C SEXT INT P. CN M4-0.70MA X 6 INOX A2;PÇ;1;0,93;-0,07;-7,00%;2.000,00;2000;;
PRO0619;PARAFUSO ALLEN POSICIONADOR M8-1.25 X 20MA A. LIGA;PÇ;1;8,76;7,76;776,00%;56;56;;
PRO0620;PARAFUSO ALLEN POSICIONADOR M8-1.25 X 16MA A. LIGA;PÇ;1;8,76;7,76;776,00%;56;56;;
PRO0621;PORCA REBITE M6 ABA FINA INOX 304;PÇ;1;2,6;1,6;160,00%;111;111;;
PRO0622;PORCA REBITE M3 CILINDRICO ABA PLANA ALUMINIO;PÇ;1;0,68;-0,32;-32,00%;111;111;;
PRO0623;PORCA REBITE M4 CILINDRICO ABA PLANA ALUMINIO;PÇ;1;0,78;-0,22;-22,00%;11;11;;
PRO0624;PORCA REBITE M10 CILINDRICO ABA PLANA ALUMINIO;PÇ;1;2,1;1,1;110,00%;20;20;;
PRO0625;ARRUELA DE NYLON M8 PA66 PRETA;PÇ;1;0,58;-0,42;-42,00%;1.000,00;1000;;
PRO0626;P. RM CH C/ PH. M2-0.40 X 16MA INOX A2;PÇ;1;0,42;-0,58;-58,00%;1.111,00;1111;;
PRO0627;P. RM PAN. C/ PH. M2-0.40 X 40 INOX A2;PÇ;1;2,97;1,97;197,00%;1.111,00;1111;;
PRO0628;P. RM PAN. C/ PH. M3-0.50 X 10 NYLON PA66 PRETO;PÇ;1;0,42;-0,58;-58,00%;7.000,00;7000;;
PRO0629;PORCA REBITE M3 CILINDRICO ABA PLANA AÇO C. ZB;PÇ;1;0,39;-0,61;-61,00%;111;111;;
PRO0630;PORCA REBITE M4 CILINDRICO ABA PLANA AÇO C. BICRO.;PÇ;1;0,48;-0,52;-52,00%;1.000,00;1000;;
PRO0631;PORCA REBITE M10 CILINDRICO ABA PLANA AÇO C. BICRO.;PÇ;1;0,97;-0,03;-3,00%;1.111,00;1111;;
PRO0632;P. CAB. ABAULADA TORX C/ PINO M3-0.50 X 10 INOX A2;PÇ;1;1,57;0,57;57,00%;140;140;;
PRO0633;P. CAB. CHATA SX INT. M2.5-0.45 X 12 INOX A2;PÇ;1;0,95;-0,05;-5,00%;111;111;;
PRO0634;P. CAB. ABAULADA TORX C/ PINO M5-0.80 X 10 INOX A2;PÇ;1;2,19;1,19;119,00%;1.111,00;1111;;
PRO0636;P. CAB. ABAULADA SX INT. M3-0.50 X 3 INOX A2;PÇ;1;1,73;0,73;73,00%;111;111;;
PRO0637;AR. DENTADA EXT. M3 INOX A2;PÇ;1;0,37;-0,63;-63,00%;1.000,00;1000;;
PRO0638;FRETE VIA PAC 7/8 DIAS ÚTEIS;PÇ;1;32,8;31,8;3180,00%;111;111;;
PRO0639;REB. REPUXO 3.2 X 10 ACO / ALUMINIO;PÇ;1;0,1;-0,9;-90,00%;1.111,00;1111;;
PRO0640;P. AA PN. C/ PH 2.2 X 14 INOX A2;PÇ;1;0,59;-0,41;-41,00%;1.111,00;1111;;
PRO0641;P. S/C SEXT. INT P. CV M4-0.70 X 4MA INOX A2;PÇ;1;0,34;-0,66;-66,00%;1.111,00;1111;;
PRO0642;P. RM PAN. C/ PH. M5-0.80 X 15 NYLON PA66 BRANCO;PÇ;1;1,97;0,97;97,00%;511;511;;
PRO0643;POR. SEXT. M5-0.80MA NYLON PA66 BRANCO;PÇ;1;0,98;-0,02;-2,00%;111;111;;
PRO0644;AR. LISA M12 INOX A2;PÇ;1;0,97;-0,03;-3,00%;111;111;;
PRO0645;P. CAB. CHATA TORX M2.5-0.45MA X 10 INOX A2;PÇ;1;0,97;-0,03;-3,00%;111;111;;
PRO0646;P. SEXT. RI M5-0.80MA X 30 INOX A2;PÇ;1;1,12;0,12;12,00%;1.111,00;1111;;
PRO0647;PA. DRYWALL CAB FL P. BR 4.2 X 16 ZB;PÇ;1;0,12;-0,88;-88,00%;11.111,00;11111;;
PRO0648;P. AA PN. C/ PH 2.9 X 9.5 INOX A2;PÇ;1;0,12;-0,88;-88,00%;50;50;;
PRO0649;"P. CAB. ABAULADA TORX  M6-1.00 X 20 INOX A2		";PÇ;1;6,13;5,13;513,00%;1.111,00;1111;;
PRO0650;P. RM PAN. C/ PH. M3-0.50 X 8 INOX A2;PÇ;1;0,27;-0,73;-73,00%;1.106,00;1106;;
PRO0651;P. RM PAN. C/ PH. M2-0.40 X 10 INOX A2;PÇ;1;0,62;-0,38;-38,00%;106;106;;
